node1,node2,port1,port2
32_7_10,0_22_1,1,26
32_7_11,0_22_1,1,27
32_7_12,0_22_1,1,28
32_7_13,0_22_1,1,29
0_5_1,0_22_1,23,6
0_7_1,0_22_1,23,8
0_4_1,0_22_1,23,5
0_8_1,0_22_1,23,9
0_9_1,0_22_1,23,10
0_6_1,0_22_1,23,7
0_3_1,0_22_1,23,4
0_2_1,0_22_1,23,3
32_7_8,0_22_1,1,24
32_7_9,0_22_1,1,25
32_7_6,0_22_1,1,22
32_7_7,0_22_1,1,23
32_7_4,0_22_1,1,20
32_7_5,0_22_1,1,21
32_7_2,0_22_1,1,18
32_7_3,0_22_1,1,19
32_7_1,0_22_1,1,17
32_2_3,13_17_1,14,19
32_2_2,13_17_1,14,18
32_2_1,13_17_1,14,17
32_2_7,13_17_1,14,23
32_2_6,13_17_1,14,22
13_1_1,13_17_1,18,2
13_8_1,13_17_1,18,9
32_2_9,13_17_1,14,25
32_2_8,13_17_1,14,24
13_6_1,13_17_1,18,7
13_9_1,13_17_1,18,10
13_2_1,13_17_1,18,3
13_5_1,13_17_1,18,6
32_2_5,13_17_1,14,21
13_3_1,13_17_1,18,4
32_2_4,13_17_1,14,20
32_2_10,13_17_1,14,26
13_7_1,13_17_1,18,8
32_2_12,13_17_1,14,28
32_2_11,13_17_1,14,27
32_2_16,13_17_1,14,32
32_2_15,13_17_1,14,31
32_2_14,13_17_1,14,30
32_2_13,13_17_1,14,29
13_4_1,13_17_1,18,5
0_2_1,0_31_1,32,3
0_2_1,0_30_1,31,3
32_4_9,24_19_1,25,25
32_4_8,24_19_1,25,24
24_1_1,24_19_1,20,2
24_8_1,24_19_1,20,9
32_4_1,24_19_1,25,17
32_4_3,24_19_1,25,19
32_4_2,24_19_1,25,18
32_4_5,24_19_1,25,21
32_4_4,24_19_1,25,20
32_4_7,24_19_1,25,23
32_4_6,24_19_1,25,22
32_4_10,24_19_1,25,26
24_7_1,24_19_1,20,8
32_4_15,24_19_1,25,31
32_4_14,24_19_1,25,30
32_4_16,24_19_1,25,32
32_4_11,24_19_1,25,27
32_4_13,24_19_1,25,29
32_4_12,24_19_1,25,28
24_6_1,24_19_1,20,7
24_4_1,24_19_1,20,5
